Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig (pc),eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα (mas/yr),μδ (mas/yr),Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J2056+1459,...,205628.91+145953.2,...,WISEPC J205628.90+145953.3,Cushing2011,20:56:29,14:59:53,314.120415,14.998139,...,...,Y0,Cushing2011,...,...,...,...,...,6.93,1.12,1.12,Dupuy2013,,,...,...,,,,> 17.6,> 17.1,...,> 17.742,13.852 ± 0.043,11.791 ± 0.222,> 8.646,,,...,...,...,...,...,,,,,,,16.036 ± 0.030,Kirkpatrick2011,13.924 ± 0.018,Kirkpatrick2011,,,,,...,...,19.21 ± 0.07,Kirkpatrick2011,19.56 ± 0.18,Kirkpatrick2011,...,...,,,,,,,,,,,,,X,
J2209+2711,...,220905.73+271143.9,,WISE J220905.73+271143.9,Cushing2014,22:09:06,27:11:44,332.2739704,27.1954646,...,...,Y0,Cushing2014,...,...,...,...,...,...,...,...,...,,,...,...,...,,,...,...,...,> 18.47,14.79 ± 0.07,12.44 ± 0.34,> 9.31,,,,,,,,,,,,,,17.82 ± 0.09,Cushing2014,14.74 ± 0.02,Cushing2014,,,,,...,...,22.58 ± 0.14,Cushing2014,22.98 ± 0.31,Cushing2014,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,
J0410+1502,...,041022.71+150248.4,...,WISEPA J041022.71+150248.5,Cushing2011,4:10:23,15:02:49,62.594625,15.046806,...,...,Y0,Kirkpatrick2011,...,...,...,...,...,7.6,0.84,0.84,Dupuy2013,,,...,...,,,,...,...,...,> 18.328,14.179 ± 0.055,> 11.856,> 8.901,,,...,...,...,...,...,,,,,,,16.642 ± 0.042,Kirkpatrick2011,14.183 ± 0.019,Kirkpatrick2011,,,,,...,...,19.25 ± 0.5,Kirkpatrick2011,19.05 ± 0.09,Kirkpatrick2011,> 18.2,Scholz2012?,,,,,,,,,,,,,X,
J1738+2732,...,173835.53+273259.0,...,WISEPA J173835.53+273258.9,Cushing2011,17:38:36,27:32:59,264.648045,27.549694,...,...,Y0,Kirkpatrick2011,...,...,...,...,...,9.85,1.72,1.72,Dupuy2013,,,...,...,,,,...,...,...,18.155 ± 0.362,14.535 ± 0.057,12.536 ± 0.350,> 9.182,,,...,...,...,...,...,,,,,,,17.097 ± 0.053,Kirkpatrick2011,14.476 ± 0.019,Kirkpatrick2011,,,,,...,...,19.47 ± 0.08,Kirkpatrick2011,20.66 ± 0.38,Kirkpatrick2011,...,...,,,,,,,,,,,,,X,
J0146+4234,...,,,WISE J014656.66+423410.0,Kirkpatrick2012,1:46:57,42:34:09,26.7360825,42.569444,...,...,Y0,Kirkpatrick2012,...,...,...,...,...,...,...,...,...,,,...,...,,,,19.400 ± 0.250,18.710 ± 0.240,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0359-5401,...,,,WISE J035934.06-540154.6,Kirkpatrick2012,3:59:34,-54:01:55,59.8919175,-54.031833,...,...,Y0,Kirkpatrick2012,...,...,...,...,...,6.9,1.85,1.85,Marsh2013,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0713-2917,...,,,WISE J071322.55-291751.9,Kirkpatrick2012,7:13:23,-29:17:52,108.3439605,-29.29775,...,...,Y0,Kirkpatrick2012,...,...,...,...,...,...,...,...,...,,,...,...,,,,20.060 ± 0.210,21.160 ± 0.660,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0734-7157,...,,,WISE J073444.02-715744.0,Kirkpatrick2012,7:34:44,-71:57:43,113.6834205,-71.962222,...,...,Y0,Kirkpatrick2012,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J2220-3628,...,,,WISE J222055.31-362817.4,Kirkpatrick2012,22:20:55,-36:28:17,335.230455,-36.4715,...,...,Y0,Kirkpatrick2012,...,...,...,...,...,...,...,...,...,,,...,...,,,,...,20.810 ± 0.300,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.380 ± 0.170,,,,,,,,,,,,,,,,,,X,2MASS-H is from SOAR/OSIRIS
J1405+5534,...,140518.39+553421.3,...,WISEPC J140518.40+553421.4,Cushing2011,14:05:18,55:34:21,211.326675,55.572611,...,...,Y0 p,Kirkpatrick2011,Peculiar Spectrum,Kirkpatrick2011,...,...,...,7.75,1.13,1.13,Dupuy2013,,,...,...,,,,...,...,...,> 17.989,14.085 ± 0.041,12.312 ± 0.252,> 9.115,,,...,...,...,...,...,,,,,,,16.884 ± 0.047,Kirkpatrick2011,14.061 ± 0.019,Kirkpatrick2011,,,,,...,...,20.20 ± 0.13,Kirkpatrick2011,21.45 ± 0.41,Kirkpatrick2011,...,...,,,,,,,,,,,,,X,
J0304-2705,...,030449.03-270508.3,,WISE J030449.03-270508.3,Pinfield2014,3:04:49,-27:05:08,46.204292,-27.085639,...,...,Y0 p,Pinfield2014,hi-g / low-metal,Pinfield2014,...,...,...,...,...,...,...,,,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79 ± 0.09,Pinfield2014,21.02 ± 0.16,Pinfield2014,,,,,,,,,,,,,,,,
J1541-2250,...,154151.65-225024.9,...,WISEPA J154151.66-225025.2,Cushing2011,15:41:52,-22:50:25,235.465245,-22.840333,...,...,Y0.5,Kirkpatrick2012,...,...,...,...,...,13.57,5.76,5.76,Dupuy2013,,,...,...,,,,...,...,...,16.736 ± 0.165,14.246 ± 0.063,12.134 ± 0.443,> 9.064,,,...,...,...,...,...,,,,,,,16.725 ± 0.044,Kirkpatrick2011,14.230 ± 0.020,Kirkpatrick2011,,,,,...,...,21.16 ± 0.36,Kirkpatrick2011,20.99 ± 0.52,Kirkpatrick2011, ... , ... ,,,,,,,,,,,,,X,MKO K Photometry in Scholz2012 is doubtful
J1639-6847,...,,,WISE J163940.86-684744.6,Tinney2012,16:39:41,-68:47:45,249.92025,-68.795722,...,...,Y0:,Tinney2012,...,...,...,...,...,5,0.5,0.5,Tinney2012,,,580.33 ± 22.36,-3013.63 ± 39.49,Tinney2012,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
J0350-5658,...,035000.32-565830.2,,WISE J035000.32-565830.2,Kirkpatrick2012,3:50:00,-56:58:30,57.501333,-56.975056,...,...,Y1,Kirkpatrick2012,...,...,...,...,...,3.44,0.59,0.59,Marsh2013,,,...,...,,,,...,...,...,> 18.898,14.728 ± 0.056,12.528 ± 0.285,> 9,,,,,,,,,,,,,,,,,,,,,,,,,,> 21.5,51-Dupuy2012,,,,,,,,,,,,,,,X,
J0647-6323,...,,,WISE J064723.23-623235.5,Kirkpatrick2013,6:47:23,-62:32:35,101.8468383,-62.5431737,...,...,Y1,Kirkpatrick2013,...,...,...,...,...,8.7,0.91,0.91,Kirkpatrick2013,,,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
